ID,Section,Control,Base,ITEM,DESCRIPTION,MSRP 25,Notes,Requires,Link
Z138,Torso Pad Cover,CB,Zmps2,PB3054,Hygienic Cover for PB3053 ,91,(must select pattern),PB3053,
Z139,Torso Pad,DDR,Zmps2,PB3001,"Planar Pad-8""Hx11""W",279,Default,,
Z140,Torso Pad Cover,CB,Zmps2,PB3029,Hygienic Cover for PB3001 ,91,(must select pattern),PB3001,
Z141,Torso Pad,DDR,Zmps2,PB3003,"Planar Pad-8""Hx13""W",290,,,
Z142,Torso Pad Cover,CB,Zmps2,PB3030,Hygienic Cover for PB3003 ,91,(must select pattern),PB3003,
Z143,Torso Pad,DDR,Zmps2,PB3005,"Form to Fit Pad-8""Hx11""W",543,Default,,
Z144,Torso Pad Cover,CB,Zmps2,PB3031,Hygienic Cover for PB3005 ,119,(must select pattern),PB3005,
Z145,Torso Pad,DDR,Zmps2,PB3007,"Form to Fit Pad-8""Hx13""W",554,,,
Z146,Torso Pad Cover,CB,Zmps2,PB3032,Hygienic Cover for PB3007 ,119,(must select pattern),PB3007,
Z147,Torso Pad,DDR,Zprone2,PA3006,"Planar Pad-5""Hx7""W",225,,,
Z148,Torso Pad Cover,CB,Zprone2,PA3028,Hygienic Cover for PA3006 ,78,(must select pattern),PA3006,
Z149,Torso Pad,DDR,Zprone2,PA3007,"Planar Pad-5""Hx9""W",236,,,
Z150,Torso Pad Cover,CB,Zprone2,PA3029,Hygienic Cover for PA3007 ,78,(must select pattern),PA3007,
Z151,Torso Pad,DDR,Zprone2,PA3041,"Planar Pad-7""Hx7""W",247,,,
Z152,Torso Pad Cover,CB,Zprone2,PA3045,Hygienic Cover for PA3041 ,78,(must select pattern),PA3041,
Z153,Torso Pad,DDR,Zprone2,PA3042,"Planar Pad-7""Hx9""W",257,Default,,
Z154,Torso Pad Cover,CB,Zprone2,PA3046,Hygienic Cover for PA3042 ,78,(must select pattern),PA3042,
Z155,Torso Pad,DDR,Zprone2,PA3079,"Form to Fit Pad-5""Hx12""W",458,,,
