ID,Section,Control,Base,ITEM,DESCRIPTION,MSRP 25,Off Unit,MSRP 26,Notes,Requires,Link
SC82,Seat Slope,DDR,,PC5021,"Adjustable Seat Slope - 16""",105,105,105,,"PC5002, PC5003, PC5004, PC5005, PC5006, PC5007,",
SC83,Seat Slope,DDR,,PC5022,"Fixed Seat Slope - 18""",0,105,0,,"PC5000, PC5008, PC5009, PC5001 PC5010, PC5011",
SC84,Seat Slope,DDR,,PC5023,"Adjustable Seat Slope - 18""",105,105,105,,"PC5000, PC5008, PC5009, PC5001 PC5010, PC5011",
SC85,Seat Slope,DDR,,PC5024,"Fixed Seat Slope - 20""",0,105,0,,"PC5013, PC5014, PC5015, PC5016, PC5017",
SC86,Seat Slope,DDR,,PC5025,"Adjustable Seat Slope - 20""",105,105,105,,"PC5013, PC5014, PC5015, PC5016, PC5017",
SC87,Caster,DDR,,PC5641,"Front Casters - Deluxe Aluminum 5""",120,120,120,,,
SC88,Caster,DDR,,PC5642,"Front Casters 5"" - Standard",0,85,0,,,
SC89,Wheels,DDR,,PC5600,"20"" Nylon Wheels (pair)",0,300,0,,,
SC90,Wheels,DDR,,PC5601,"22"" Nylon Wheels (pair)",0,300,0,,,
SC91,Wheels,DDR,,PC5602,"24"" Nylon Wheels (pair)",0,300,0,,,
SC92,Wheels,DDR,,PC5610,"22"" Magnesium Shallow Tread Wheels (pair)",495,495,495,,,
SC93,Wheels,DDR,,PC5611,"22"" Magnesium Shallow Tread Wheels (pair) W/Std. Handrims",495,495,495,,,
SC94,Wheels,DDR,,PC5612,"22"" Magnesium Deep Tread Wheels (pair)",495,495,495,,,
SC95,Wheels,DDR,,PC5613,"22"" Magnesium Deep Tread Wheels (pair) W/Std. Handrims",495,495,495,,,
SC96,Wheels,DDR,,PC5614,"24"" Magnesium Shallow Tread Wheels (pair)",495,495,495,,,
SC97,Wheels,DDR,,PC5615,"24"" Magnesium Shallow Tread Wheels (pair) W/Std. Handrims",495,495,495,,,
SC98,Wheels,DDR,,PC5616,"24"" Magnesium Deep Tread Wheels (pair)",495,495,495,,,
SC99,Wheels,DDR,,PC5617,"24"" Magnesium Deep Tread Wheels (pair) W/Std. Handrims",495,495,495,,,
SC100,Hand Rims,CB,,PC5622,"22"" Slim Handrims (pair)",140,140,140,,"PC5610, PC5612",
SC101,Hand Rims,CB,,PC5623,"24"" Slim Handrims (pair)",140,140,140,,"PC5614, PC5616",
SC102,Axles,DDR,,PC5630,"Bolted Axles - 1/2"" - Mag",0,80,0,"for magnesium wheels, 1/2 diameter.","PC5610, PC5611, PC5612, PC5613, PC5614, PC5615, PC5616, PC5617",
SC103,Axles,DDR,,PC5631,"Quick Release Axles - 1/2""",95,95,95,"for magnesium wheels, 1/2 diameter.","PC5610, PC5611, PC5612, PC5613, PC5614, PC5615, PC5616, PC5617",
SC104,Axles,DDR,,PC5632,Bolted Axles - 12MM - Nylon,0,80,0,"for nylon wheels, 12MM diameter.","PC5600, PC5601, PC5602",
SC105,Axles,DDR,,PC5633,Quick Release Axles 12MM,95,95,95,"for nylon wheels, 12MM diameter.","PC5600, PC5601, PC5602",
SC106,Wheel Locks,DDR,,PC5502,Scissors Wheel Locks,0,125,125,,,
SC107,Wheel Locks,DDR,,PC5501,Toggle Wheel Locks - Long Handle - Pair,200,200,200,,,
SC108,Wheel Locks,DDR,,PC5500,Toggle Wheel Locks - Short Handle,140,140,140,,,
SC109,Foot Plates,DDR,,PC5460,"Footplate - 1 PC. - Flat - 16""",0,200,200,,"PC5002, PC5003, PC5004, PC5005, PC5006, PC5007,",
SC110,Foot Plates,DDR,,PC5461,"Footplate - 1 PC. - Flat - 18""",0,200,200,,"PC5000, PC5008, PC5009, PC5001 PC5010, PC5011",
SC111,Foot Plates,DDR,,PC5462,"Footplate - 1 PC. - Flat - 20""",0,200,200,,"PC5013, PC5014, PC5015, PC5016, PC5017",
SC112,Foot Plates,DDR,,PC5463,"Footplate - 1 PC. - Adjustable - 16""",295,295,295,,"PC5002, PC5003, PC5004, PC5005, PC5006, PC5007,",
SC113,Foot Plates,DDR,,PC5464,"Footplate - 1 PC. - Adjustable - 18""",295,295,295,,"PC5000, PC5008, PC5009, PC5001 PC5010, PC5011",
SC114,Foot Plates,DDR,,PC5465,"Footplate - 1 PC. - Adjustable - 20""",295,295,295,,"PC5013, PC5014, PC5015, PC5016, PC5017",
SC115,Foot Plates,DDR,,PC5436,Flip-up Footplate - Pair - 16,280,280,280,,"PC5002, PC5003, PC5004, PC5005, PC5006, PC5007,",
SC116,Foot Plates,DDR,,PC5437,Flip-up Footplate - Pair - 18,280,280,280,,"PC5000, PC5008, PC5009, PC5001 PC5010, PC5011",
SC117,Foot Plates,DDR,,PC5438,Flip-up Footplate - Pair - 20,280,280,280,,"PC5013, PC5014, PC5015, PC5016, PC5017",
SC118,Foot Plates,DDR,,PC5452,"Gooseneck Leg Rest Pair Short - 16""",364,364,364,,"PC5002, PC5003, PC5004, PC5005, PC5006, PC5007,",
SC119,Foot Plates,DDR,,PC5453,"Gooseneck Leg Rest Pair Short - 18""",364,364,364,,"PC5000, PC5008, PC5009, PC5001 PC5010, PC5011",
SC120,Foot Plates,DDR,,PC5454,"Gooseneck Leg Rest Pair Short - 20""",364,364,364,,"PC5013, PC5014, PC5015, PC5016, PC5017",
SC121,Foot Plates,DDR,,PC5455,"Gooseneck Leg Rest Pair Tall - 16""",364,364,364,,"PC5002, PC5003, PC5004, PC5005, PC5006, PC5007,",
SC122,Foot Plates,DDR,,PC5456,"Gooseneck Leg Rest Pair Tall - 18""",364,364,364,,"PC5000, PC5008, PC5009, PC5001 PC5010, PC5011",
SC123,Foot Plates,DDR,,PC5457,"Gooseneck Leg Rest Pair Tall - 20""",364,364,364,,"PC5013, PC5014, PC5015, PC5016, PC5017",
SC124,Foot Plate Accessories,CB,,PC3401,"Neoprene Cover, One Piece Footplate 16""",90,90,90,,"PC5002, PC5003, PC5004, PC5005, PC5006, PC5007,",
SC125,Foot Plate Accessories,CB,,PC3402,"Neoprene Cover, One Piece Footplate 18""",90,90,90,,"PC5000, PC5009, PC5009, PC5010, PC5011",
SC126,Foot Plate Accessories,CB,,PC3403,"Neoprene Cover, One Piece Footplate 20""",90,90,90,,"PC5013, PC5014, PC5015, PC5016, PC5017",
SC127,Foot Plate Accessories,CB,,PC5475,"Neoprene Cover, One Piece Foot Plate, 16""",90,90,90,,"PC5002, PC5003, PC5004, PC5005, PC5006, PC5007,",
SC128,Foot Plate Accessories,CB,,PC5476,"Neoprene Cover, One Piece Foot Plate, 18""",90,90,90,,"PC5000, PC5009, PC5009, PC5010, PC5011",
SC129,Foot Plate Accessories,CB,,PC5477,"Neoprene Cover, One Piece Foot Plate, 20""",90,90,90,,"PC5013, PC5014, PC5015, PC5016, PC5017",
SC130,Foot Plate Accessories,CB,,PC5472,"Neoprene Gooseneck, Pair, 16""",90,90,90,,"PC5002, PC5003, PC5004, PC5005, PC5006, PC5007,",
SC131,Foot Plate Accessories,CB,,PC5473,"Neoprene Gooseneck, Pair, 18""",90,90,90,,"PC5000, PC5009, PC5009, PC5010, PC5011",
SC132,Foot Plate Accessories,CB,,PC5474,"Neoprene Gooseneck, Pair, 20""",90,90,90,,"PC5013, PC5014, PC5015, PC5016, PC5017",
SC133,Foot Plate Accessories,CB,,PC5478,Foot Straps - Pair,15,15,15,,,
SC134,Foot Plate Accessories,CB,,PC5470,Heel Stop (Pair),30,30,30,,,
SC135,Foot Plate Accessories,CB,,PC5471,Heel Stop/Foot pad (Pair),60,60,60,,,
SC136,Backs,DDR,,PC5145,Back - Solid - 16,0,205,0,,"PC5002, PC5003, PC5004, PC5005, PC5006, PC5007,",
SC137,Backs,DDR,,PC5146,Back - Solid - 18,0,205,0,,"PC5000, PC5009, PC5009, PC5010, PC5011",
SC138,Backs,DDR,,PC5147,Back - Solid - 20,0,205,0,,"PC5013, PC5014, PC5015, PC5016, PC5017",
SC139,Backs,DDR,,PC5125,STROLLER HANDLE - SLING BACK - 16,245,245,245,,"PC5002, PC5003, PC5004, PC5005, PC5006, PC5007,",
SC140,Backs,DDR,,PC5126,STROLLER HANDLE - SLING BACK - 18,245,245,245,,"PC5000, PC5009, PC5009, PC5010, PC5011",
SC141,Backs,DDR,,PC5127,STROLLER HANDLE - SLING BACK - 20,245,245,245,,"PC5013, PC5014, PC5015, PC5016, PC5017",
SC142,Back Rest Adjustment,DDR,,PC5100,Fixed Back Angle 7°,0,200,0,,,
SC143,Back Rest Adjustment,DDR,,PC5101,Adjustable Angle Back,225,225,225,,,
SC144,Push Handles,DDR,,PC5122,"Stroller Handle for Solid Back - 16""",125,125,125,,"PC5002, PC5003, PC5004, PC5005, PC5006, PC5007,",
SC145,Push Handles,DDR,,PC5150,Fixed Handles - Sling Back,0,95,0,,"PC5125, PC5126, PC5127",
SC146,Push Handles,DDR,,PC5123,"Stroller Handle for Solid Back - 18""",125,125,125,,"PC5000, PC5009, PC5009, PC5010, PC5011",
SC147,Push Handles,DDR,,PC5124,"Stroller Handle for Solid Back - 20""",125,125,125,,"PC5013, PC5014, PC5015, PC5016, PC5017",
SC148,Push Handles,DDR,,PC5140,Fixed Handles - Solid Back,95,95,95,,"PC5145, PC5146, PC5147",
SC149,Armrests,DDR,,PC5200,"Flip-Up Armrests, Height Adjustable - Pair",0,125,0,,,
SC150,Armrests,DDR,,PC5201,Flip-Up Multi-Adjustable Armrests - Pair,150,150,150,,,
SC151,Accessories,CB,,PC5300,Swing-Away Lateral - Left,255,255,255,,,
SC152,Accessories,CB,,PC5301,Swing-Away Lateral - Right,255,255,255,,,
SC153,Accessories,CB,,PC5302,Side Guards - Pair,169,169,169,,,
SC154,Accessories,CB,,PC5640,Anti-Tippers,120,120,120,,,
SC155,Belts WT,DD,,PW60884,Waist Belt,76,76,76,Waist belt only,,
SC156,Belts WT,DD,,PT60884,Trunk Belt,76,76,76,Trunk belt only,,
SC157,Calf Strap,CB,,P60882,Calf Strap Non Swing-Away,76,76,76,,,
SC158,Calf Strap,CB,,P60879,Calf Strap,76,76,76,,,
SC159,Belts WT,DD,,PC5310,Bodypoint Trunk Belt,224,224,224,Trunk belt only,,
SC160,Belts WT,DD,,PC5311,Bodypoint Trunk Belt (Pair),423,423,423,Waist and trunk belt,,
SC161,Belts WT,DD,,PC5312,Bodypoint Trunk Belt & Waist Belt,277,277,277,Waist and trunk belt,,
SC162,Belts T,DD,,PC5313,Bodypoint XL Trunk Belt,234,234,234,Trunk belt only,,
SC163,Belts T,DD,,PC5314,Bodypoint Belt W/QR Knobs,260,260,260,,,
SC164,Belts,CB,,PC5318,Bodypoint Knee Belt,250,250,250,,,
SC165,Pans,DD,,PC5700,"Commode Pan/Hanger/Cover - 1"" Drop",200,200,200,,,
SC166,Pans,DD,,PC5701,"Commode Pan/Hanger/Cover - 2"" Drop",205,205,205,,,
SC167,Pans,DD,,PC5702,"Commode Pan/Hanger/Cover - 3"" Drop",210,210,210,,,
SC168,Pans,DD,,PC5703,"Commode Pan/Hanger/Cover - 4"" Drop",215,215,215,,,
SC169,Pans,DD,,PC5704,"Commode Pan/Hanger/Cover - 5"" Drop",220,220,220,,,
